STATISTIC CODE,Statistic,TLIST(A1),Year,COUNT_PARTNER,Trade Partner,RUSECTION,Industry Sector,UNIT,VALUE
BESESCOUNT,Number of Businesses,2011,2011,EXPORT,Exporter,Q,Human Health And Social Work Activities,Count,72
BESESCOUNT,Number of Businesses,2011,2011,EXPORT,Exporter,R,"Arts, Entertainment And Recreation",Count,100
BESESCOUNT,Number of Businesses,2011,2011,EXPORT,Exporter,S,Other Service Activities,Count,53
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,ALL,All industries,Count,12320
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,A,"Agriculture, Forestry And Fishing",Count,94
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,B,Mining And Quarrying,Count,24
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,C,Manufacturing,Count,2243
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,21
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,68
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,F,Construction,Count,1338
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,4257
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,H,Transportation And Storage,Count,731
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,I,Accommodation And Food Service Activities,Count,80
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,J,Information And Communication,Count,756
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,L,Real Estate Activities,Count,234
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,M,"Professional, Scientific And Technical Activities",Count,1665
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,N,Administrative And Support Service Activities,Count,208
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,P,Education,Count,311
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,Q,Human Health And Social Work Activities,Count,45
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,R,"Arts, Entertainment And Recreation",Count,149
BESESCOUNT,Number of Businesses,2012,2012,EXTERN,External Seller,S,Other Service Activities,Count,95
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,ALL,All industries,Count,9917
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,A,"Agriculture, Forestry And Fishing",Count,70
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,B,Mining And Quarrying,Count,24
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,C,Manufacturing,Count,2035
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,12
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,63
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,F,Construction,Count,959
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,3767
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,H,Transportation And Storage,Count,446
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,I,Accommodation And Food Service Activities,Count,53
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,J,Information And Communication,Count,590
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,L,Real Estate Activities,Count,61
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,M,"Professional, Scientific And Technical Activities",Count,1273
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,N,Administrative And Support Service Activities,Count,107
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,P,Education,Count,222
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,Q,Human Health And Social Work Activities,Count,44
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,R,"Arts, Entertainment And Recreation",Count,130
BESESCOUNT,Number of Businesses,2012,2012,EXPORT,Exporter,S,Other Service Activities,Count,60
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,ALL,All industries,Count,11798
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,A,"Agriculture, Forestry And Fishing",Count,86
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,B,Mining And Quarrying,Count,39
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,C,Manufacturing,Count,2294
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,23
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,60
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,F,Construction,Count,1282
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,3486
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,H,Transportation And Storage,Count,684
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,I,Accommodation And Food Service Activities,Count,65
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,J,Information And Communication,Count,899
