STATISTIC CODE,Statistic,TLIST(A1),Year,LGD2014,Local Government District 2014,UNIT,VALUE
BCOUNTS,number-of-businesses,2018,2018,N92000002,Northern Ireland,Number,74060
BCOUNTS,number-of-businesses,2019,2019,N09000001,Antrim and Newtownabbey,Number,4175
BCOUNTS,number-of-businesses,2019,2019,N09000002,"Armagh City, Banbridge and Craigavon",Number,8715
BCOUNTS,number-of-businesses,2019,2019,N09000003,Belfast,Number,10705
BCOUNTS,number-of-businesses,2019,2019,N09000004,Causeway Coast and Glens,Number,6075
BCOUNTS,number-of-businesses,2019,2019,N09000005,Derry City and Strabane,Number,5260
BCOUNTS,number-of-businesses,2019,2019,N09000006,Fermanagh and Omagh,Number,8200
BCOUNTS,number-of-businesses,2019,2019,N09000007,Lisburn and Castlereagh,Number,4855
BCOUNTS,number-of-businesses,2019,2019,N09000008,Mid and East Antrim,Number,4950
BCOUNTS,number-of-businesses,2019,2019,N09000009,Mid Ulster,Number,9050
BCOUNTS,number-of-businesses,2019,2019,N09000010,"Newry, Mourne and Down",Number,8745
BCOUNTS,number-of-businesses,2019,2019,N09000011,Ards and North Down,Number,4755
BCOUNTS,number-of-businesses,2019,2019,N92000002,Northern Ireland,Number,75490
BCOUNTS,number-of-businesses,2020,2020,N09000001,Antrim and Newtownabbey,Number,4190
BCOUNTS,number-of-businesses,2020,2020,N09000002,"Armagh City, Banbridge and Craigavon",Number,8725
BCOUNTS,number-of-businesses,2020,2020,N09000003,Belfast,Number,11065
BCOUNTS,number-of-businesses,2020,2020,N09000004,Causeway Coast and Glens,Number,6015
BCOUNTS,number-of-businesses,2020,2020,N09000005,Derry City and Strabane,Number,5320
BCOUNTS,number-of-businesses,2020,2020,N09000006,Fermanagh and Omagh,Number,8175
BCOUNTS,number-of-businesses,2020,2020,N09000007,Lisburn and Castlereagh,Number,5010
BCOUNTS,number-of-businesses,2020,2020,N09000008,Mid and East Antrim,Number,4955
BCOUNTS,number-of-businesses,2020,2020,N09000009,Mid Ulster,Number,9035
BCOUNTS,number-of-businesses,2020,2020,N09000010,"Newry, Mourne and Down",Number,8865
BCOUNTS,number-of-businesses,2020,2020,N09000011,Ards and North Down,Number,4740
BCOUNTS,number-of-businesses,2020,2020,N92000002,Northern Ireland,Number,76090
BCOUNTS,number-of-businesses,2021,2021,N09000001,Antrim and Newtownabbey,Number,4360
BCOUNTS,number-of-businesses,2021,2021,N09000002,"Armagh City, Banbridge and Craigavon",Number,8930
BCOUNTS,number-of-businesses,2021,2021,N09000003,Belfast,Number,11300
BCOUNTS,number-of-businesses,2021,2021,N09000004,Causeway Coast and Glens,Number,6085
BCOUNTS,number-of-businesses,2021,2021,N09000005,Derry City and Strabane,Number,5410
BCOUNTS,number-of-businesses,2021,2021,N09000006,Fermanagh and Omagh,Number,8285
BCOUNTS,number-of-businesses,2021,2021,N09000007,Lisburn and Castlereagh,Number,5170
BCOUNTS,number-of-businesses,2021,2021,N09000008,Mid and East Antrim,Number,5040
BCOUNTS,number-of-businesses,2021,2021,N09000009,Mid Ulster,Number,9220
BCOUNTS,number-of-businesses,2021,2021,N09000010,"Newry, Mourne and Down",Number,9045
