"STATISTIC CODE","Statistic","TLIST(A1)","Year","LGD2014","Local Government District 2014","UNIT","VALUE"
"BCOUNTS","Number of Businesses","2018","2018","N09000001","Antrim and Newtownabbey","Number","4105"
"BCOUNTS","Number of Businesses","2018","2018","N09000002","Armagh City, Banbridge and Craigavon","Number","8555"
"BCOUNTS","Number of Businesses","2018","2018","N09000003","Belfast","Number","10560"
"BCOUNTS","Number of Businesses","2018","2018","N09000004","Causeway Coast and Glens","Number","5980"
"BCOUNTS","Number of Businesses","2018","2018","N09000005","Derry City and Strabane","Number","5120"
"BCOUNTS","Number of Businesses","2018","2018","N09000006","Fermanagh and Omagh","Number","8055"
"BCOUNTS","Number of Businesses","2018","2018","N09000007","Lisburn and Castlereagh","Number","4755"
"BCOUNTS","Number of Businesses","2018","2018","N09000008","Mid and East Antrim","Number","4875"
"BCOUNTS","Number of Businesses","2018","2018","N09000009","Mid Ulster","Number","8865"
"BCOUNTS","Number of Businesses","2018","2018","N09000010","Newry, Mourne and Down","Number","8520"
"BCOUNTS","Number of Businesses","2018","2018","N09000011","Ards and North Down","Number","4670"
"BCOUNTS","Number of Businesses","2018","2018","N92000002","Northern Ireland","Number","74060"
"BCOUNTS","Number of Businesses","2019","2019","N09000001","Antrim and Newtownabbey","Number","4175"
"BCOUNTS","Number of Businesses","2019","2019","N09000002","Armagh City, Banbridge and Craigavon","Number","8715"
"BCOUNTS","Number of Businesses","2019","2019","N09000003","Belfast","Number","10705"
"BCOUNTS","Number of Businesses","2019","2019","N09000004","Causeway Coast and Glens","Number","6075"
"BCOUNTS","Number of Businesses","2019","2019","N09000005","Derry City and Strabane","Number","5260"
"BCOUNTS","Number of Businesses","2019","2019","N09000006","Fermanagh and Omagh","Number","8200"
"BCOUNTS","Number of Businesses","2019","2019","N09000007","Lisburn and Castlereagh","Number","4855"
"BCOUNTS","Number of Businesses","2019","2019","N09000008","Mid and East Antrim","Number","4950"
"BCOUNTS","Number of Businesses","2019","2019","N09000009","Mid Ulster","Number","9050"
"BCOUNTS","Number of Businesses","2019","2019","N09000010","Newry, Mourne and Down","Number","8745"
"BCOUNTS","Number of Businesses","2019","2019","N09000011","Ards and North Down","Number","4755"
"BCOUNTS","Number of Businesses","2019","2019","N92000002","Northern Ireland","Number","75490"
"BCOUNTS","Number of Businesses","2020","2020","N09000001","Antrim and Newtownabbey","Number","4190"
"BCOUNTS","Number of Businesses","2020","2020","N09000002","Armagh City, Banbridge and Craigavon","Number","8725"
"BCOUNTS","Number of Businesses","2020","2020","N09000003","Belfast","Number","11065"
"BCOUNTS","Number of Businesses","2020","2020","N09000004","Causeway Coast and Glens","Number","6015"
"BCOUNTS","Number of Businesses","2020","2020","N09000005","Derry City and Strabane","Number","5320"
"BCOUNTS","Number of Businesses","2020","2020","N09000006","Fermanagh and Omagh","Number","8175"
"BCOUNTS","Number of Businesses","2020","2020","N09000007","Lisburn and Castlereagh","Number","5010"
"BCOUNTS","Number of Businesses","2020","2020","N09000008","Mid and East Antrim","Number","4955"
"BCOUNTS","Number of Businesses","2020","2020","N09000009","Mid Ulster","Number","9035"
"BCOUNTS","Number of Businesses","2020","2020","N09000010","Newry, Mourne and Down","Number","8865"
"BCOUNTS","Number of Businesses","2020","2020","N09000011","Ards and North Down","Number","4740"
"BCOUNTS","Number of Businesses","2020","2020","N92000002","Northern Ireland","Number","76090"
"BCOUNTS","Number of Businesses","2021","2021","N09000001","Antrim and Newtownabbey","Number","4360"
"BCOUNTS","Number of Businesses","2021","2021","N09000002","Armagh City, Banbridge and Craigavon","Number","8930"
"BCOUNTS","Number of Businesses","2021","2021","N09000003","Belfast","Number","11300"
"BCOUNTS","Number of Businesses","2021","2021","N09000004","Causeway Coast and Glens","Number","6085"
